Contest_ID,QB,RB,WR,WR/TE,FLEX,,Sport: Football
,,,,,,,Contest Type: Classic
,,,,,,,Game Slate: Sun 11/12 1:00 PM ET (10 Events)

,,,,,,,Instructions:
,,,,,,,SCROLL RIGHT FOR YOUR CONTEST ID LIST
,,,,,,,1. Create lineups by filling out the Contest_ID and position columns to the left.
,,,,,,,2. Each row represents a single entry.
,,,,,,,"3. To build an entry, select the Contest ID for the contest you would like to enter (provided to the right) and place it in the Contest_ID column."
,,,,,,,4. Complete the entry by placing the unique ID for each card (provided below) into a corresponding position column.
,,,,,,,5. Export this file as a CSV and re-upload it into Reignmakers at: https://www.draftkings.com/nftgames/bulkentry/upload
,,,,,,,
,,,,,,,Reminders:
,,,,,,,1. Cards must remain in your RM collection to be accepted.
,,,,,,,2. Cards must not be in another active Reignmakers entry to be accepted.
,,,,,,,3. Cards must map to an eligible position to be accepted.
,,,,,,,4. All columns in each row must be filled out for the lineup to be accepted.
,,,,,,,"5. Lineups must meet any contest rarity or other gating requirements (superstar, or series etc)."
,,,,,,,"6. Only contest IDs listed to the right will be accepted."
,,,,,,,"7. The csv will be evaluated from top to bottom, so if a later entry conflicts with an earlier entry, the earlier entry will be entered and the later entry will be rejected."
,,,,,,,8. Cards included in templates are not filtered based on set or other contest attribute requirements.
,,,,,,,"9. For set-restricted contests, double-check that your entries contain only cards from eligible sets."

,,,,,,,All Owned Cards Eligible for a Contest of this Slate,,,,,,,,,,,,,,,,,All Contests of Selected Slate
,,,,,,,WR,Brandon Aiyuk, ,2023, ,Elite,Play-Action,85,a2fef08a-d9ab-4e47-9588-d19877a8cf26,a2fef08a-d9ab-4e47-9588-d19877a8cf26+85,WR|WR/TE|FLEX,No,SF @ JAX 11/12 1:00 PM ET,SF,16.86,No,,
,,,,,,,RB,Jamaal Williams, ,2023, ,Elite,Play-Action,85,fb6deefd-a43c-45df-bedb-5aeaf54b24a7,fb6deefd-a43c-45df-bedb-5aeaf54b24a7+85,RB|FLEX,No,NO @ MIN 11/12 1:00 PM ET,NO,3.90,No,,
,,,,,,,RB,AJ Dillon, ,2023, ,Elite,Play-Action,74,2d40fd0e-8622-4af5-a742-6381edcdb355,2d40fd0e-8622-4af5-a742-6381edcdb355+74,RB|FLEX,No,GB @ PIT 11/12 1:00 PM ET,GB,7.24,No,,
,,,,,,,TE,Luke Musgrave, ,2023, ,Elite,Play-Action,55,4b5ead16-aa34-4cf5-ac31-1484379f9538,4b5ead16-aa34-4cf5-ac31-1484379f9538+55,WR/TE|FLEX,No,GB @ PIT 11/12 1:00 PM ET,GB,7.24,No,,
,,,,,,,WR,Isaiah Hodgins, ,2023, ,Rare,Play-Action,471,58c56b76-2c0c-4ddf-9b22-9607bee0f884,58c56b76-2c0c-4ddf-9b22-9607bee0f884+471,WR|WR/TE|FLEX,No,NYG @ DAL 11/12 4:25 PM ET,NYG,3.22,No,,
,,,,,,,RB,Matt Breida, ,2023, ,Rare,Play-Action,29,d3095011-47ec-4b19-bad8-4e834150f74c,d3095011-47ec-4b19-bad8-4e834150f74c+29,RB|FLEX,No,NYG @ DAL 11/12 4:25 PM ET,NYG,4.12,No,,
,,,,,,,TE,Gerald Everett, ,2023, ,Rare,Play-Action,472,76692a19-300a-4831-b325-2166a2ef17ff,76692a19-300a-4831-b325-2166a2ef17ff+472,WR/TE|FLEX,No,DET @ LAC 11/12 4:05 PM ET,LAC,7.16,No,,
,,,,,,,WR,Parris Campbell,Q,2023, ,Rare,Play-Action,151,107d37e0-04a9-429c-8067-d50b6d44ac0c,107d37e0-04a9-429c-8067-d50b6d44ac0c+151,WR|WR/TE|FLEX,No,NYG @ DAL 11/12 4:25 PM ET,NYG,3.11,No,,
,,,,,,,WR,Darius Slayton, ,2023, ,Rare,Play-Action,129,0445e27a-60ad-4b30-b4b7-258075558ceb,0445e27a-60ad-4b30-b4b7-258075558ceb+129,WR|WR/TE|FLEX,No,NYG @ DAL 11/12 4:25 PM ET,NYG,6.07,No,,
,,,,,,,LB,Tuli Tuipulotu, ,2023, ,Rare,Play-Action,13,226aebff-5c2d-404d-8caa-bc3a7ed20677,226aebff-5c2d-404d-8caa-bc3a7ed20677+13,FLEX,No,DET @ LAC 11/12 4:05 PM ET,LAC,9.38,No,,
